run_id,engine_id,case_id,benchmark_mode,thread_count,repeat_count,warmup_steps,physics_settings,build_settings,min_ms_per_step,mean_ms_per_step,median_ms_per_step,max_steps_per_second,mean_steps_per_second,body_count,shape_count,invalid_transform_count,below_floor_count,out_of_bounds_count
2026-07-09_0112_ddr5-4800_threads-1-2-3-4-5-6-8-16-24_r10,nvidia_physx34,box_container_pile_10k,headless_api,6,10,30,"solver_iterations=4,1; sleep_threshold=0",Visual Studio 2026 MSBuild Release; NVIDIA PhysX 3.4 SDK+runner,15.473876000,15.870971500,15.821124500,64.625049341,63.031675290,10005,10005,0,0,2
2026-07-09_0112_ddr5-4800_threads-1-2-3-4-5-6-8-16-24_r10,rapier3d,box_container_pile_10k,headless_api,6,10,30,solver_iterations=4; sleep=disabled; ccd=default/off,Rust 1.89 Cargo release; Rapier3D 0.34.0 parallel,15.803485667,16.035171800,16.059819167,63.277179547,62.366864825,10005,10005,0,0,113
2026-07-09_0112_ddr5-4800_threads-1-2-3-4-5-6-8-16-24_r10,avian3d,box_container_pile_10k,headless_api,6,10,30,substeps=4; sleep=disabled; solver_defaults=avian,"Rust 1.95 Cargo release; Avian3D 0.8.0-dev; Bevy 0.19.0; features 3d,f32,parry-f32,parallel,simd",21.171384667,21.502372734,21.356464167,47.233566238,46.524704601,10005,10005,0,0,19
2026-07-09_0112_ddr5-4800_threads-1-2-3-4-5-6-8-16-24_r10,unity_physics,box_container_pile_10k,headless_api,8,10,30,PhysicsStep default solver; synchronize_collision_world=on,Unity 6000.5.2f1 Release IL2CPP player; Burst on; safety off,4.645811000,4.696675500,4.708417333,215.247671505,212.925166806,10005,10005,0,0,0
2026-07-09_0112_ddr5-4800_threads-1-2-3-4-5-6-8-16-24_r10,box3d,box_container_pile_10k,headless_api,8,10,30,substeps=4; sleep=disabled; continuous=disabled,clang-cl 22 Release static runner,6.463986667,6.532875100,6.522465833,154.703289404,153.081445483,10005,10005,0,0,0
2026-07-09_0112_ddr5-4800_threads-1-2-3-4-5-6-8-16-24_r10,bepuphysics2,box_container_pile_10k,headless_api,8,10,30,"SolveDescription(4,1); sleep=disabled",.NET 10 Release; BepuPhysics ReleaseNoProfiling,6.233742667,6.581864067,6.639389500,160.417273133,152.227961424,10005,10005,0,0,0
2026-07-09_0112_ddr5-4800_threads-1-2-3-4-5-6-8-16-24_r10,joltphysics,box_container_pile_10k,headless_api,8,10,30,"solver=4 velocity,1 position; sleep=disabled",clang-cl 22 Distribution static runner,10.582529667,10.901410267,10.891864500,94.495364672,91.783280070,10005,10005,0,0,0
2026-07-09_0112_ddr5-4800_threads-1-2-3-4-5-6-8-16-24_r10,physx34,box_container_pile_10k,headless_api,8,10,30,"solver_iterations=4,1; sleep_threshold=0",clang-cl 22 Release runner; Vite PhysX 3.4 runtime DLLs,10.692394667,11.036742733,11.058215833,93.524419101,90.621460405,10005,10005,0,0,11
2026-07-09_0112_ddr5-4800_threads-1-2-3-4-5-6-8-16-24_r10,nvidia_physx5,box_container_pile_10k,headless_api,8,10,30,"solver_iterations=4,1; sleep_threshold=0",Visual Studio 2026 MSBuild Release; NVIDIA PhysX 5.6 CPU SDK+runner,11.438633333,11.746998767,11.767384667,87.423031306,85.147482750,10005,10005,0,0,8
2026-07-09_0112_ddr5-4800_threads-1-2-3-4-5-6-8-16-24_r10,nvidia_physx34,box_container_pile_10k,headless_api,8,10,30,"solver_iterations=4,1; sleep_threshold=0",Visual Studio 2026 MSBuild Release; NVIDIA PhysX 3.4 SDK+runner,14.246467000,14.558989233,14.605299000,70.192841495,68.696396277,10005,10005,0,0,2
